song,feature,score,playlist
10,mode,1,2020
10,speechiness,0.0362,2020
10,acousticness,0.0112,2020
10,instrumentalness,0.0076,2020
10,liveness,0.0999,2020
10,valence,0.818,2020
10,tempo,102.006,2020
10,type,audio_features,2020
10,id,0APAKxMXB7jdDs4kw1l30y,2020
10,uri,spotify,2020
10,track_href,https,2020
10,analysis_url,https,2020
10,duration_ms,193293,2020
10,time_signature,4,2020
11,danceability,0.736,2020
11,energy,0.468,2020
11,key,4,2020
11,loudness,-7.035,2020
11,mode,1,2020
11,speechiness,0.0294,2020
11,acousticness,0.53,2020
11,instrumentalness,0.00184,2020
11,liveness,0.094,2020
11,valence,0.642,2020
11,tempo,97.484,2020
11,type,audio_features,2020
11,id,21PaOSZdsh7DToHW6d5B38,2020
11,uri,spotify,2020
11,track_href,https,2020
11,analysis_url,https,2020
11,duration_ms,148360,2020
11,time_signature,3,2020
12,danceability,0.43,2020
12,energy,0.771,2020
12,key,5,2020
12,loudness,-7.176,2020
12,mode,1,2020
12,speechiness,0.0375,2020
12,acousticness,0.0876,2020
12,instrumentalness,0.0239,2020
12,liveness,0.121,2020
12,valence,0.772,2020
12,tempo,201.001,2020
12,type,audio_features,2020
12,id,4keAoywVf4jxRvXU7ON0hV,2020
12,uri,spotify,2020
12,track_href,https,2020
12,analysis_url,https,2020
12,duration_ms,145893,2020
12,time_signature,4,2020
13,danceability,0.534,2020
13,energy,0.6,2020
13,key,5,2020
13,loudness,-9.138,2020
13,mode,0,2020
13,speechiness,0.28,2020
13,acousticness,0.505,2020
13,instrumentalness,0.316,2020
13,liveness,0.188,2020
13,valence,0.653,2020
13,tempo,202.086,2020
13,type,audio_features,2020
13,id,2oeqKWbVwK5Ly2vjwWJKHd,2020
13,uri,spotify,2020
13,track_href,https,2020
13,analysis_url,https,2020
13,duration_ms,210653,2020
13,time_signature,4,2020
14,danceability,0.617,2020
14,energy,0.78,2020
14,key,7,2020
14,loudness,-4.466,2020
14,mode,0,2020
14,speechiness,0.0376,2020
14,acousticness,0.0141,2020
14,instrumentalness,0.0112,2020
14,liveness,0.0833,2020
14,valence,0.326,2020
14,tempo,93.951,2020
14,type,audio_features,2020
14,id,6IRzBP4gVoV4D2zHmocoWy,2020
14,uri,spotify,2020
14,track_href,https,2020
14,analysis_url,https,2020
14,duration_ms,375320,2020
14,time_signature,4,2020
15,danceability,0.625,2020
15,energy,0.645,2020
15,key,9,2020
15,loudness,-5.959,2020
15,mode,1,2020
15,speechiness,0.0278,2020
15,acousticness,0.54,2020
15,instrumentalness,0.0776,2020
15,liveness,0.347,2020
15,valence,0.685,2020
15,tempo,106.996,2020
15,type,audio_features,2020
15,id,5u9cuDcYdOpSRB7fAYXXdp,2020
15,uri,spotify,2020
15,track_href,https,2020
15,analysis_url,https,2020
15,duration_ms,187572,2020
15,time_signature,4,2020
16,danceability,0.817,2020
16,energy,0.441,2020
16,key,9,2020
16,loudness,-11.214,2020
16,mode,1,2020
16,speechiness,0.0417,2020
16,acousticness,0.43,2020
16,instrumentalness,0.0269,2020
16,liveness,0.123,2020
16,valence,0.683,2020
16,tempo,143.02,2020
16,type,audio_features,2020
16,id,5DMatF7gcSJ6DwUKrgAbhx,2020
16,uri,spotify,2020
16,track_href,https,2020
16,analysis_url,https,2020
16,duration_ms,135603,2020
16,time_signature,4,2020
17,danceability,0.603,2020
17,energy,0.783,2020
17,key,6,2020
17,loudness,-4.023,2020
17,mode,1,2020
17,speechiness,0.062,2020
17,acousticness,0.449,2020
17,instrumentalness,7.96e-06,2020
17,liveness,0.119,2020
17,valence,0.775,2020
17,tempo,172.041,2020
17,type,audio_features,2020
17,id,37y7iDayfwm3WXn5BiAoRk,2020
17,uri,spotify,2020
17,track_href,https,2020
17,analysis_url,https,2020
17,duration_ms,173104,2020
17,time_signature,4,2020
18,danceability,0.572,2020
18,energy,0.662,2020
18,key,7,2020
18,loudness,-6.041,2020
18,mode,1,2020
18,speechiness,0.0316,2020
18,acousticness,0.00817,2020
18,instrumentalness,0,2020
18,liveness,0.159,2020
18,valence,0.356,2020
18,tempo,103.025,2020
18,type,audio_features,2020
18,id,2XzAcJx3qBDnS1hD2vNwbh,2020
18,uri,spotify,2020
18,track_href,https,2020
18,analysis_url,https,2020
18,duration_ms,237653,2020
18,time_signature,4,2020
19,danceability,0.769,2020
19,energy,0.829,2020
19,key,0,2020
19,loudness,-5.228,2020
19,mode,1,2020
19,speechiness,0.0661,2020
19,acousticness,0.00948,2020
19,instrumentalness,6.65e-05,2020
19,liveness,0.301,2020
19,valence,0.648,2020
19,tempo,159.943,2020
19,type,audio_features,2020
19,id,5jbDih9bLGmI8ycUKkN5XA,2020
19,uri,spotify,2020
19,track_href,https,2020
19,analysis_url,https,2020
19,duration_ms,100291,2020
19,time_signature,4,2020
20,danceability,0.565,2020
20,energy,0.832,2020
20,key,8,2020
20,loudness,-5.751,2020
20,mode,0,2020
20,speechiness,0.108,2020
20,acousticness,0.0639,2020
20,instrumentalness,0.0291,2020
20,liveness,0.386,2020
20,valence,0.847,2020
20,tempo,143.302,2020
20,type,audio_features,2020
20,id,25SJaCCPiosugnlY53VhRG,2020
20,uri,spotify,2020
20,track_href,https,2020
20,analysis_url,https,2020
20,duration_ms,173889,2020
20,time_signature,4,2020
21,danceability,0.456,2020
21,energy,0.323,2020
21,key,10,2020
21,loudness,-6.764,2020
21,mode,1,2020
21,speechiness,0.0318,2020
21,acousticness,0.858,2020
21,instrumentalness,0.00913,2020
21,liveness,0.146,2020
21,valence,0.363,2020
21,tempo,116.903,2020
21,type,audio_features,2020
21,id,7lu6YLrlB1MU7HW8DJSuPa,2020
21,uri,spotify,2020
21,track_href,https,2020
21,analysis_url,https,2020
21,duration_ms,310373,2020
21,time_signature,4,2020
22,danceability,0.492,2020
22,energy,0.779,2020
22,key,3,2020
22,loudness,-5.022,2020
22,mode,1,2020
22,speechiness,0.0498,2020
22,acousticness,0.0292,2020
22,instrumentalness,0,2020
22,liveness,0.129,2020
22,valence,0.445,2020
22,tempo,104.966,2020
22,type,audio_features,2020
22,id,1F5A4LpF8ylUVtPoMAvNvn,2020
22,uri,spotify,2020
22,track_href,https,2020
22,analysis_url,https,2020
22,duration_ms,196027,2020
22,time_signature,4,2020
23,danceability,0.394,2020
23,energy,0.76,2020
23,key,9,2020
23,loudness,-6.321,2020
23,mode,1,2020
23,speechiness,0.0412,2020
23,acousticness,0.0208,2020
23,instrumentalness,0.00091,2020
23,liveness,0.0512,2020
23,valence,0.605,2020
23,tempo,131.711,2020
23,type,audio_features,2020
23,id,0vbwHDmP0pCZj62FHZuHro,2020
23,uri,spotify,2020
23,track_href,https,2020
23,analysis_url,https,2020
23,duration_ms,310879,2020
23,time_signature,4,2020
24,danceability,0.559,2020
24,energy,0.793,2020
24,key,2,2020
24,loudness,-4.019,2020
24,mode,0,2020
24,speechiness,0.0346,2020
24,acousticness,0.174,2020
24,instrumentalness,0.021,2020
24,liveness,0.329,2020
24,valence,0.604,2020
24,tempo,80.083,2020
24,type,audio_features,2020
24,id,6yFNMQrUVlg9Uqo0qRzGOD,2020
24,uri,spotify,2020
24,track_href,https,2020
24,analysis_url,https,2020
24,duration_ms,179767,2020
24,time_signature,4,2020
25,danceability,0.457,2020
25,energy,0.84,2020
25,key,1,2020
25,loudness,-7.075,2020
25,mode,0,2020
25,speechiness,0.0737,2020
25,acousticness,0.00537,2020
25,instrumentalness,0.00246,2020
25,liveness,0.472,2020
25,valence,0.231,2020
25,tempo,159.987,2020
25,type,audio_features,2020
25,id,7E9OnFFwTYDz6ZllgfbwOd,2020
25,uri,spotify,2020
25,track_href,https,2020
25,analysis_url,https,2020
25,duration_ms,222027,2020
25,time_signature,4,2020
26,danceability,0.432,2020
26,energy,0.822,2020
26,key,7,2020
26,loudness,-3.278,2020
26,mode,0,2020
26,speechiness,0.0389,2020
26,acousticness,0.000261,2020
26,instrumentalness,1.73e-05,2020
26,liveness,0.696,2020
26,valence,0.211,2020
26,tempo,100.062,2020
26,type,audio_features,2020
26,id,7rxdEeEAZ3c5KQ7s1bC3cc,2020
26,uri,spotify,2020
26,track_href,https,2020
26,analysis_url,https,2020
26,duration_ms,209093,2020
26,time_signature,4,2020
27,danceability,0.67,2020
27,energy,0.528,2020
27,key,8,2020
27,loudness,-9.372,2020
27,mode,0,2020
27,speechiness,0.0323,2020
27,acousticness,0.0565,2020
27,instrumentalness,0.00117,2020
27,liveness,0.102,2020
27,valence,0.628,2020
27,tempo,87.965,2020
27,type,audio_features,2020
27,id,3pihS07XVQEavaS9n7kObt,2020
27,uri,spotify,2020
27,track_href,https,2020
27,analysis_url,https,2020
27,duration_ms,278311,2020
27,time_signature,4,2020
